index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-651c449c-2c61-0c5e-50fe-af34b1907ca0, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-54c5e2ec-1e97-d77d-ea45-1fa4f8b462e0, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-4332df32-f012-1d72-15ee-e17821e4464b, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-c3147f97-3fcc-bd36-7f7b-525ab68dd510, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-da139aa3-1408-cf28-97ed-1f7aacf63168, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-5380d5fb-e074-daa0-b2d4-43c58653945e, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-890e2f48-efd0-29c1-0289-71b01ea2956f, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-f58aa550-9755-6682-5373-3941f6944172, 580.126.09, 81559 MiB
