index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-b2d03d18-d171-d8fe-f9d8-b1b415fa2e02, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-bfcd1942-cb2a-2124-c519-a5711bf8f045, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-f1db2c53-4f3b-25b7-ad52-b47c39b608bc, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-c5ce14a8-6453-0cba-cd94-65304c89cc3a, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-04080df2-e0fa-787a-7049-3c8c194c7dcb, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-66d366d1-161a-cddd-7438-c8692a38cf97, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-e7faa2e9-fd1f-976e-56d0-2e4318379751, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-2db1d608-a625-9b5c-2c0e-e2cee1c3df78, 580.126.09, 81559 MiB
