index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-28c0e440-df7b-1463-7f94-caf58523e358, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-153ad028-a873-8b18-4770-a3eeed8753f2, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-45624309-f664-0165-8139-89a823f6a7ef, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-c1e78491-ea81-ff4e-7b15-033e971b159d, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-aa9cfa95-920a-2d09-de9c-8867ff2df7aa, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-77488a8b-19ae-f0e9-45b2-92ba3c6c0172, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-40f4ad6a-f6e8-35ec-d30c-adc044634c3c, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-f0e5fda8-a418-a0b2-0506-90cd81ec5c35, 580.126.09, 81559 MiB
