index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-283830af-14f2-1aad-518a-c57afbf3a8da, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-7bead0b8-f42c-2d03-43e7-ff9fb34842b5, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-7d377c27-154e-e93a-32ad-beaa2e87b6de, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-9ec02161-2d78-ab8f-a4cb-6e5bee2e0149, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-2fa5d258-54ba-1cdc-5468-12c8202f54a6, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-3d3f6d2c-4d92-3b8c-ba1a-42f90334dafd, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-df393271-daf3-da6f-1226-7f821f1b0596, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-40da4596-bce8-eeb5-c910-c315cdf435d4, 580.126.09, 81559 MiB
