index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-fee21c7f-fe9f-b4da-4541-6a5e79ed39e9, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-447091a8-7ea6-8d00-0a76-37e1c0c037ba, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-157785a8-dc89-0706-f034-fc7bffbb78f6, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-5d7199a8-9183-d25c-3cbd-09dde5193591, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-97313e74-5c85-460d-b3f0-0acf1dd9e4c6, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-e06efcaf-6d74-65d6-e838-81b9c455b68e, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-0910ff99-380c-672c-3b0e-8648ceb24a39, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-a5848622-8cb7-3e6f-b331-53b4ef173a0d, 580.126.09, 81559 MiB
