index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-24ad6036-5537-e538-afde-6e8c86d95cc1, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-aa1159e4-592c-7d53-ed8a-a6b009b28451, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-0a610075-f28a-a6b9-0c31-6f97dc4bcd69, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-6b3677ce-081f-38bd-335c-d574454a726d, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-2d07f680-58c1-86c9-43f8-a319778226f4, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-c76d5f5c-a21a-1fcf-38df-d151885ef45b, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-b2606015-8a67-6720-ead1-128c4b75c4c5, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-774a7eca-aabe-b30e-d446-4f3c7562143a, 580.126.09, 81559 MiB
