index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-a077546e-836d-be8a-d438-a30412cde2aa, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-12ca99bf-7975-692f-7d05-dcb49f65ec41, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-b9889f50-8343-46eb-0299-9514ace8910c, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-ae44621c-92fb-f4d7-79b2-f7a6fc1a3ca0, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-432c72e0-65ad-c4fc-bbf3-a50dc69d420c, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-c68dc790-ab98-684b-ee00-fbfdc72675cd, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-c9468fb5-3d9e-3761-ce00-9463c1e8a919, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-2e5bc34a-3861-becd-89b2-7f270a6ca956, 580.126.09, 81559 MiB
