index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-2b91bef0-f2c8-5e21-ee4c-7e17c651e9bc, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-3888d0ed-49d6-5154-0791-fbbc69f46950, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-d73f7f1f-aa05-f495-00d5-a2ed04769eae, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-d2f501f1-e47b-41dc-4014-d8accf2264a9, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-0b25102b-52dc-37d4-594e-02b4ff22b5cd, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-b189ec04-89b1-69e4-eb3c-5b5b184074ae, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-bd8e421e-fd80-77c2-2563-9493db287097, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-2ac23eb5-7bd7-85c7-52d8-93ac170945c3, 580.126.09, 81559 MiB
