index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-2c00911a-7e43-e11d-72ef-21e696914ac2, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-e6acd012-79cf-d724-5c7b-29a52168f4a9, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-9fde947b-72dc-28b9-4b8a-960e1f66309e, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-c42d8928-4d2b-6020-4185-0ec713f1c3b1, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-bf3c9f1d-ccf3-3757-53ac-7a21850b66d4, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-89779dfb-8ea5-16ed-3f0c-f917c0fdd233, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-adcea514-9292-33a2-414c-88c074de1f2d, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-6c477a4a-ab8e-4322-0846-3c441d42e5b8, 580.126.09, 81559 MiB
