index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-ad919820-6f32-6afa-c645-b6d91621fb9c, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-80e3f1ed-5fcd-6edf-479b-e5ae0b97e62d, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-c7112c06-bd7e-2de8-a609-a4cf3ed288ea, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-53ccd057-61b4-49cb-3814-3425e6baf60d, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-dedca436-d7fe-8f54-297f-43cb521605f5, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-e48c2498-c269-e5fd-56ec-99b3113fddc5, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-62b80632-533a-7eea-b209-a15faea4fb89, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-82be9568-cfe9-1897-2209-35edfe31eafb, 580.126.09, 81559 MiB
