index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-dfa5f5d9-c4f9-b8e9-3adc-75a17eff6b00, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-b7a102fc-a60a-4541-bf49-16b55dc6a710, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-6fa3b529-20fe-17e2-c765-76f20a9372f0, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-884fd94f-baec-eb31-e078-5574e2b5f25f, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-adaf8955-29cf-df79-2e9d-8daff90dbf6f, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-a36bdca8-a113-cb71-183f-8f81172d4b47, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-f812fead-029d-6da7-e948-89c909a2ced3, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-50a7f2a2-cb55-f96d-594b-fa53c79a59bf, 580.126.09, 81559 MiB
