index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-24a57d98-6159-f404-d53e-29e1c4e8c10a, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-1333ed36-12f2-3736-abf8-5b2ba22a1726, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-23a21a3b-360f-1583-0570-6f269d0fde21, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-f57ee217-9141-0450-3cb3-64e247263641, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-5e101b34-ce73-2714-f303-16127af2fd8e, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-89c993db-c9dc-06d5-2201-29608abceaa6, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-8a37a14d-2a39-432c-4f71-9da3993edd5b, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-b8622889-b7f5-18d0-42ef-ea1e562f2836, 580.126.09, 81559 MiB
