index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-d173ee11-ff9a-5083-75dd-cbb5ffbe3d95, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-b53a224d-ecba-343d-d57f-537f618edd33, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-0f77e6ab-c41e-6cb0-19a3-632097fe2ed9, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-1d4f6d56-f4b3-251f-552c-53a1c63e6c7d, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-c3740e59-4101-6353-d32d-2abcacb7e6bb, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-f231d596-b184-36f9-1c01-91a9ca31de2a, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-5a9c0360-dc5b-1b5d-6394-d47d6932012a, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-37b87bb0-15b1-7ad9-b2c8-13093ed5d961, 580.126.09, 81559 MiB
