index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-c29ea190-4026-d765-7570-8bd7af96acaa, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-e5df4416-772a-f161-fc4f-99e89cbf9718, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-38a1198c-2c07-5b50-4d86-761d5d8f9285, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-bfe5c60a-2525-4c0c-530f-b793486ba366, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-76fdc9f2-16bf-b0d6-7502-4755a3472db4, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-785bb019-8a17-dd61-16e7-58fb45de4fc6, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-93d9193f-8e39-659c-fc08-9c6f9ddc50c1, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-da3eb873-1770-631d-5be3-e43cfc9cd8b1, 580.126.09, 81559 MiB
