index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-91ebb1c3-2065-85d8-092a-a1d4aaf8dac2, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-8bf6191a-03c5-342d-a14e-20ab81a2b7e8, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-4a5266d0-321f-4478-31e4-3d4f61e3dda7, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-148c5e1a-179a-bfe0-66ca-790c7b31bea4, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-bf9aa760-b74d-f1fe-ff44-30d1ed543155, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-138db26e-eb96-4fd3-9607-9012865d9daa, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-c374cc76-e46a-248a-f865-c8e13c24fe6d, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-4ab53859-7139-b2df-50bf-9b176f657fb4, 580.126.09, 81559 MiB
