index, name, uuid, driver_version, memory.total [MiB]
0, NVIDIA H100 80GB HBM3, GPU-078c9886-637f-b83e-0cb2-c49df312e6d8, 580.126.09, 81559 MiB
1, NVIDIA H100 80GB HBM3, GPU-fd2a9aaf-f0ed-864e-14e9-bcd465eb6861, 580.126.09, 81559 MiB
2, NVIDIA H100 80GB HBM3, GPU-c77ef928-c11b-f2f0-aea8-251393c353d6, 580.126.09, 81559 MiB
3, NVIDIA H100 80GB HBM3, GPU-494183ff-fcf7-b392-3943-7942abcd5ab4, 580.126.09, 81559 MiB
4, NVIDIA H100 80GB HBM3, GPU-b1227355-e7aa-ab31-7c62-a0185d8155d6, 580.126.09, 81559 MiB
5, NVIDIA H100 80GB HBM3, GPU-e6fa99da-f7c1-5d2a-4f47-d4c420b49551, 580.126.09, 81559 MiB
6, NVIDIA H100 80GB HBM3, GPU-ac82ec8a-ae41-b16d-4c50-e3e76ca7cb80, 580.126.09, 81559 MiB
7, NVIDIA H100 80GB HBM3, GPU-9bd31afb-b472-d6b7-a1c9-f7af7012a11e, 580.126.09, 81559 MiB
